SKU_CODE,WD_TOWN_ID,SKU_ID,ACTIVE_FLAG,MAX(B.UNIT_PRICE),CNF_NAME,CNF_ID,WD_ID,TOWN,REGION
CIG0002638,487502,6172266,Y,3013.94,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,2931292,BAREILLY-0160300,DELHI BRANCH
CIG0002030,1432922,5531061,Y,2796.6,GPIL_Ahemdabad_Gujrat,141,3610381,AMRELI-0310900,AHEMDABAD BRANCH
CIG0002033,156171,5620057,Y,3754.82,GPIL_Salem_TN,2369,2709305,PALANI-0469900,HYDERABAD BRANCH
CIG0002010,1557967,778084,Y,6591.66,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002628,1557967,4834939,Y,3532.94,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0005526,133720,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2231216,LALSOT N-0326500,AHEMDABAD BRANCH
CDICLA1116,1464927,6211359,Y,71.45,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3633380,TAGORE GARDEN-4010065,DELHI BRANCH
CIG0002036,1557967,6126375,Y,6771.64,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002030,27049,5531061,Y,2158.75,GPIL_Hyderabad_Rangareddy_Telangana,3812,210023,NIZAMABAD-0488600,HYDERABAD BRANCH
CIG0005519,156171,5637081,Y,2166.63,GPIL_Salem_TN,2369,2709305,PALANI-0469900,HYDERABAD BRANCH
CIG0002101,1548989,5958214,Y,1053.76,GPIL_Hyd_Vijayawada_AP,4033,3703390,VIZAG MT-4040122,HYDERABAD BRANCH
CIG0002052,56178,2248084,Y,6771.64,GPIL_Lucknow_UP,127,941025,FAIZABAD-0163800,DELHI BRANCH
CIG0002020,1368916,5198426,Y,6771.64,GPIL_Chandigarh,154,3569381,SOLAN-1635200,CHANDIGARH BRANCH
CDICGM1112,4404,6279494,Y,128.04,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1986,AGRA 1-0160100,DELHI BRANCH
CIG0002001,120821,730084,Y,6771.64,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,1908228,TODARAISING-TODARAISIN,AHEMDABAD BRANCH
CIG0002748,1557967,5720116,Y,1689.85,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002078,140893,6319451,Y,5751.77,GPIL_Johala_Punjab,161,2447220,LUDHIANA 1-1655500,CHANDIGARH BRANCH
CIG0003111,1557967,73103,Y,3263.52,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0005525,142775,6107261,Y,2106.63,GPIL_Chandigarh,154,3266,NALAGARH-1632900,CHANDIGARH BRANCH
CIG0002030,1554967,5531061,Y,2796.6,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3128342,BASSI-BASSI,AHEMDABAD BRANCH
